gcLogFile; 0180f666-331d-4e08-80fd-1ab760c63f38; -
totalHeapAllocMax; 20,480; M
totalHeapUsedMax; 19,996; M
totalHeapUsedMaxpc; 97.6; %
totalTenuredAllocMax; n/a; M
totalTenuredUsedMax; n/a; M
totalTenuredUsedMaxpc; n/a; %
totalYoungAllocMax; n/a; M
totalYoungUsedMax; n/a; M
totalYoungUsedMaxpc; n/a; %
totalPermAllocMax; n/a; M
totalPermUsedMax; n/a; M
totalPermUsedMaxpc; n/a; %
avgfootprintAfterFullGC; 16,948.268; M
avgfootprintAfterFullGC?; 907.851; M
avgfootprintAfterFullGCisSig; true; bool
freedMemoryByFullGC; 303,723; M
freedMemoryByFullGCpc; 4.1; %
avgFreedMemoryByFullGC; 2,469.293; M/coll
avgFreedMemoryByFullGC?; 738.795; M/coll
avgFreedMemoryByFullGCisSig; false; bool
slopeAfterFullGC; -291; B/s
avgRelativePostFullGCInc; -1,163,941; B/coll
avgfootprintAfterGC; 12,567.185; M
avgfootprintAfterGC?; 6,234.793; M
avgfootprintAfterGCisSig; false; bool
slopeAfterGC; 4,634.073; K/s
avgRelativePostGCInc; 64.313; M/coll
freedMemoryByGC; 7,140,752.692; M
freedMemoryByGCpc; 95.9; %
avgFreedMemoryByGC; 1,441.703; M/coll
avgFreedMemoryByGC?; 1,451.389; M/coll
avgFreedMemoryByGCisSig; false; bool
avgPromotion; n.a.; M
promotionTotal; n.a.; M
pauseCount; 5076; -
avgPauseIsSig; false; bool
avgPause; 1.26193; s
avgPause?; 6.94883; s
minPause; 0.00475; s
maxPause; 54.32884; s
gcPauseCount; 4953; -
avgGCPauseIsSig; false; bool
avgGCPause; 0.17167; s
avgGCPause?; 0.50818; s
fullGcPauseCount; 123; -
avgFullGCPauseIsSig; true; bool
avgFullGCPause; 45.16464; s
avgFullGCPause?; 2.57724; s
minFullGCPause; 41.58872; s
maxFullGCPause; 54.32884; s
accumPause; 6,405.53; s
fullGCPause; 5,555.25; s
fullGCPausePc; 86.7; %
gcPause; 850.28; s
gcPausePc; 13.3; %
footprint; 20,480; M
freedMemory; 7,444,475.692; M
throughput; 98.27; %
totalTime; 370510; s
freedMemoryPerMin; 1,205.55; M/min
gcPerformance; 8,398.095; M/s
fullGCPerformance; 54.673; M/s
